freq (Hz),H(f) (dB)
1.000E3,-99.41E-3
1.122E3,-99.41E-3
1.259E3,-99.41E-3
1.413E3,-99.41E-3
1.585E3,-99.41E-3
1.778E3,-99.41E-3
1.995E3,-99.41E-3
2.239E3,-99.41E-3
2.512E3,-99.41E-3
2.818E3,-99.41E-3
3.162E3,-99.41E-3
3.548E3,-99.42E-3
3.981E3,-99.42E-3
4.467E3,-99.42E-3
5.012E3,-99.42E-3
5.623E3,-99.42E-3
6.310E3,-99.42E-3
7.079E3,-99.42E-3
7.943E3,-99.43E-3
8.913E3,-99.43E-3
10.00E3,-99.43E-3
11.22E3,-99.44E-3
12.59E3,-99.45E-3
14.13E3,-99.46E-3
15.85E3,-99.47E-3
17.78E3,-99.48E-3
19.95E3,-99.50E-3
22.39E3,-99.52E-3
25.12E3,-99.55E-3
28.18E3,-99.59E-3
31.62E3,-99.63E-3
35.48E3,-99.69E-3
39.81E3,-99.77E-3
44.67E3,-99.86E-3
50.12E3,-99.98E-3
56.23E3,-100.1E-3
63.10E3,-100.3E-3
70.79E3,-100.6E-3
79.43E3,-101.0E-3
89.13E3,-101.4E-3
100.0E3,-102.1E-3
112.2E3,-103.1E-3
125.9E3,-104.5E-3
141.3E3,-106.8E-3
158.5E3,-110.6E-3
177.8E3,-117.1E-3
199.5E3,-128.5E-3
223.9E3,-149.4E-3
251.2E3,-188.2E-3
281.8E3,-261.2E-3
316.2E3,-398.6E-3
354.8E3,-654.2E-3
398.1E3,-1.115
446.7E3,-1.901
501.2E3,-3.130
562.3E3,-4.856
631.0E3,-7.033
707.9E3,-9.545
794.3E3,-12.27
891.3E3,-15.12
1.000E6,-18.04
1.122E6,-21.00
1.259E6,-23.97
1.413E6,-26.95
1.585E6,-29.94
1.778E6,-32.94
1.995E6,-35.93
2.239E6,-38.93
2.512E6,-41.92
2.818E6,-44.92
3.162E6,-47.92
3.548E6,-50.91
3.981E6,-53.90
4.467E6,-56.90
5.012E6,-59.89
5.623E6,-62.88
6.310E6,-65.86
7.079E6,-68.85
7.943E6,-71.82
8.913E6,-74.80
10.00E6,-77.76
11.22E6,-80.72
12.59E6,-83.67
14.13E6,-86.60
15.85E6,-89.52
17.78E6,-92.41
19.95E6,-95.28
22.39E6,-98.12
25.12E6,-100.9
28.18E6,-103.7
31.62E6,-106.3
35.48E6,-109.0
39.81E6,-111.5
44.67E6,-113.9
50.12E6,-116.2
56.23E6,-118.4
63.10E6,-120.4
70.79E6,-122.2
79.43E6,-123.9
89.13E6,-125.3
100.0E6,-126.5
